Feature	Gain	Cover	Frequency
ctrx_quarter	0.137814288111677	0.0142899098477804	0.00921658986175115
mcaja_ahorro	0.105594390948613	0.0146632484600728	0.0102800425381071
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0523078019196584	0.00376461725150097	0.00389932647997164
g1_mtotal_caja_ahorro	0.0473240462411247	0.00413379264364505	0.00336760014179369
g1_consumo_total_tc	0.0385511602759317	0.0123089370505431	0.010989010989011
g1_numero_mes_lag_3	0.0279503737803146	0.039330247547683	0.0418291386033322
g1_transacciones_totales_tc	0.027069240105978	0.00404411989510491	0.00407656859269763
mtarjeta_visa_consumo	0.0252030857069885	0.00692723307179505	0.0065579581708614
mcaja_ahorro_lag_1	0.0248613087102647	0.000814633678412853	0.000886210563629919
cdescubierto_preacordado	0.0246286745462313	0.0209095344445021	0.0241049273307338
g1_visa_abierta	0.0208493811263521	0.00648693810883877	0.0120524636653669
g1_visa_limite_compra_sobre_sueldo	0.0203144155645605	0.010512042493388	0.00850762141084722
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.0200019420931229	0.00117863421926055	0.00265863169088976
mcuentas_saldo	0.0192609069362601	0.0140707355708373	0.0131159163417228
g1_mtotal_cta_corriente	0.0163547827755292	0.0163774556201915	0.0191421481744062
g1_numero_mes	0.0151695228908004	0.0142902316201027	0.0203828429634881
mautoservicio	0.0115365572371082	0.00882063343825947	0.0054945054945055
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.0108879281854637	0.0124547957768649	0.0124069478908189
foto_mes	0.0101935564974092	0.02655598221379	0.0301311591634172
g1_acreditaciones_sobre_edad	0.00917038261196384	0.00264669222686042	0.00194966323998582
g1_monto_total_prestamos	0.00898233916344601	0.0163624461851617	0.0166607585962425
g1_master_abierta	0.00854412357740955	0.00268315240848224	0.00815313718539525
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00789670504965288	0.00283800154652394	0.00584898971995746
Visa_Finiciomora	0.0078132543415462	0.02239135605589	0.0116979794399149
g1_visa_limite_compra_sobre_sueldo_delta_lag1	0.00776196011518599	0.00743554435319743	0.00584898971995746
g1_monto_total_acreditaciones_lag_1	0.0073883460537782	0.000289548573708829	0.000531726338177951
mpayroll	0.00732851594688672	0.00370982150812788	0.00230414746543779
ctarjeta_visa_transacciones	0.00730907491661406	0.00275427743991839	0.00248138957816377
asg1_monto_total_acreditaciones_lag3	0.00717311706651092	0.00248007746666032	0.00514002126905353
mprestamos_personales	0.0070017074404414	0.0130227130046041	0.0138248847926267
mcuenta_corriente	0.00671625971667671	0.0134459095405018	0.0168380007089685
g1_numero_mes_lag_1	0.00662466617545579	0.00768641047358223	0.010457284650833
g1_m_activos_pasivos_margen_absoluto	0.00641758965381641	0.00890679541009058	0.0118752215526409
g2_mpasivos_margen_sobre_g1_monto_total_acreditaciones	0.00534421403961851	0.000824740484362514	0.000886210563629919
Visa_Finiciomora_lag_1	0.00523057619244444	0.0063954356467848	0.00354484225451967
g2_g1_mtotal_caja_ahorro_sobre_g1_consumo_total_tc	0.00518761235127117	0.000587570215579686	0.00177242112725984
asctarjeta_visa_lag3	0.0050022101394422	0.00238096087236708	0.00460829493087558
tcallcenter	0.00486954613643773	0.0165251098805661	0.0179014533853244
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo	0.00456089300627881	0.000828492741997318	0.00159517901453385
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_monto_total_acreditaciones	0.00452150627754686	0.00319061324826578	0.00283587380361574
ccaja_seguridad	0.00441113852817395	0.0230418021203257	0.0118752215526409
g1_cant_cuentas_visa_y_master	0.00428731508069924	0.00319989185958306	0.00265863169088976
g1_master_limite_compra_sobre_sueldo	0.00428453909612801	0.00307212600061479	0.00265863169088976
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_acreditaciones	0.00416519905056926	0.00117592756998946	0.00124069478908189
g1_visa_abierta_delta_lag1	0.00413888469480367	0.00582977203877419	0.00301311591634172
g2_mpasivos_margen_sobre_mrentabilidad_annual	0.00376110592781933	0.00065561383714553	0.00159517901453385
mcuenta_debitos_automaticos	0.00368895498626245	0.018901960116571	0.011343495214463
g2_ctrx_quarter_sobre_g1_monto_total_prestamos	0.00364605702650923	0.00203527485975618	0.00425381070542361
g2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro	0.00348821307253356	0.000566702946769045	0.000531726338177951
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_prestamos	0.00339861066335567	0.00391734382478887	0.00620347394540943
g2_g1_monto_total_acreditaciones_sobre_g1_transacciones_totales_tc	0.00326125314984377	0.00147173765916067	0.00265863169088976
g1_monto_pago_servicios_totales	0.00322367995397452	0.0113354273272936	0.00708968450903935
g2_mpasivos_margen_sobre_g1_monto_total_prestamos	0.00310750179456575	0.00310329584885596	0.00460829493087558
g2_mpasivos_margen_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00303717926465116	0.000575540056527724	0.00159517901453385
g1_monto_total_debitado_tc	0.00300149790405972	0.0025443215051838	0.00248138957816377
ctrx_quarter_delta_lag1	0.00297156927295374	0.0184602805820755	0.0136476426799007
ctarjeta_visa_delta_lag1	0.00296096786493373	0.00343976230578637	0.00177242112725984
thomebanking	0.00291462984053832	0.0081899997309854	0.0164835164835165
mrentabilidad_annual	0.00281718134890159	0.0162859677198014	0.0166607585962425
g2_mcuentas_saldo_sobre_mrentabilidad_annual	0.0027029038994158	0.00102791048149022	0.00230414746543779
g2_g1_monto_total_prestamos_sobre_mrentabilidad_annual	0.00255313858673222	0.00467594240043737	0.0054945054945055
g1_monto_total_acreditaciones	0.00252933116912879	0.00260900219137792	0.00177242112725984
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo_lag_1	0.0024535473661388	0.000352821430150575	0.000886210563629919
mcuentas_saldo_delta_lag1	0.00242376335429412	0.0137681219487153	0.00921658986175115
g2_g1_consumo_total_tc_sobre_g1_monto_total_prestamos_lag_1	0.00237105343372355	0.00811873858844116	0.00815313718539525
