Feature	Gain	Cover	Frequency
mcaja_ahorro	0.12926807264059	0.0165113722389559	0.011166253101737
ctrx_quarter	0.0852149442550618	0.0151690804560506	0.010989010989011
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0576563312056263	0.00321226155779506	0.00389932647997164
g1_mtotal_caja_ahorro	0.0566831234074519	0.00659552933636419	0.00602623183268345
mtarjeta_visa_consumo	0.0415567464408853	0.00409311336060374	0.0054945054945055
g1_consumo_total_tc	0.0387653162067671	0.0120509915903299	0.010989010989011
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.0363623984132106	0.00612203766673881	0.00602623183268345
g1_numero_mes_lag_3	0.0269304793001757	0.0330365280067002	0.0388160226869904
cdescubierto_preacordado	0.0266341454371911	0.0187719280294864	0.0228642325416519
mcuentas_saldo	0.0225934142126296	0.0158940221590652	0.0131159163417228
g1_transacciones_totales_tc	0.0222417427912105	0.0055205423453799	0.00496277915632754
foto_mes	0.0175297550207698	0.0310597454120425	0.0349166962070188
g1_visa_limite_compra_sobre_sueldo	0.016537762653122	0.0112593295093923	0.00921658986175115
g1_numero_mes	0.0154077280997667	0.0140551879824531	0.0191421481744062
g1_visa_abierta	0.0153663048883551	0.00783477748995347	0.0124069478908189
ctarjeta_visa_transacciones	0.0147544225389793	0.00252906690085522	0.00230414746543779
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.0138836818426688	0.0145663261835392	0.0147110953562566
mcuenta_corriente	0.0137681789663259	0.0150925475994906	0.0180786954980503
mcaja_ahorro_lag_1	0.00914223737432062	0.000752027201188586	0.00159517901453385
g1_master_abierta	0.00827949913536574	0.0030040764505583	0.00833037929812123
g1_visa_limite_compra_sobre_sueldo_delta_lag1	0.00809591837541132	0.00528120812877669	0.00407656859269763
g2_g1_mtotal_caja_ahorro_sobre_g1_consumo_total_tc	0.00774897681360375	0.000622499014662007	0.0010634526763559
g1_monto_total_prestamos	0.00761913835664266	0.0141834007535756	0.0148883374689826
mautoservicio	0.00749166019963613	0.00779416093885888	0.00496277915632754
mprestamos_personales	0.00729566434922577	0.012832609689199	0.0148883374689826
g2_mcuentas_saldo_sobre_g1_monto_total_acreditaciones	0.00716996731960061	0.000587017282275843	0.000708968450903935
Visa_Finiciomora	0.00708688404665166	0.020230690842395	0.010811768876285
g1_mtotal_cta_corriente	0.006928384232845	0.012722271080235	0.0163062743707905
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_prestamos	0.00680129145138459	0.00569696469783019	0.00886210563629919
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00655847028433219	0.00373261835458619	0.00584898971995746
g2_g1_monto_total_prestamos_sobre_mrentabilidad_annual	0.0060849103088817	0.00469269192227904	0.00638071605813541
