Feature	Gain	Cover	Frequency
ctrx_quarter	0.130667370104982	0.00942457645348285	0.0052497265767408
mcaja_ahorro	0.0966409077303827	0.00652495990137586	0.0027706890266132
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0512656924295943	0.00519150618207816	0.00539555231498359
g1_mtotal_caja_ahorro	0.0464299414888934	0.00337421734433302	0.0024790375501276
g1_transacciones_totales_tc	0.0297715828508528	0.00418036190576757	0.0030623405030988
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.0295151653123526	0.00575567801266062	0.0027706890266132
g1_visa_abierta	0.0284486111420183	0.00761190377572791	0.00670798395916879
g1_numero_mes_lag_3	0.0260489678290574	0.0224489788765504	0.0172803499817718
g1_consumo_total_tc	0.0254433682777732	0.00673272160828044	0.0049580751002552
cdescubierto_preacordado	0.0251611547591185	0.0157394724863701	0.00947867298578199
mtarjeta_visa_consumo	0.0231671145819333	0.00538602168256993	0.004739336492891
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.017967315499138	0.00956712970937725	0.005103900838498
g1_mtotal_cta_corriente	0.0156210252657726	0.0123829810840499	0.0100619759387532
g1_numero_mes	0.0146736582704948	0.0126008329796001	0.0136347065257018
g2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro	0.0130955482761661	0.00189589396324555	0.002916514764856
mautoservicio	0.0128362616202586	0.0083271467597537	0.0045935107546482
g1_visa_limite_compra_sobre_sueldo	0.0109972024095703	0.00367324576451416	0.001822821728035
Visa_Finiciomora	0.0106074822803891	0.0119618977744691	0.0031352533722202
foto_mes	0.0101329442675057	0.0211812092880115	0.0158950054684652
g2_g1_mtotal_caja_ahorro_sobre_g1_consumo_total_tc	0.00992056472183959	0.00158644071341468	0.0027706890266132
g1_acreditaciones_sobre_edad	0.00969565917163276	0.00264339248808511	0.0012395187750638
g1_numero_mes_lag_1	0.00964781073979938	0.00737585768150801	0.00656215822092599
mcuentas_saldo	0.00943767899270088	0.00868503187183819	0.00736419978126139
