Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0982582625086614	0.011088698229985	0.00693787448754336
ctrx_quarter	0.094106667517555	0.0122280501289149	0.00946073793755913
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0597321742738419	0.00337811673365542	0.00425733207190161
g1_consumo_total_tc	0.0481480703686414	0.010651213182335	0.0086723431094292
g1_mtotal_caja_ahorro	0.0462399733704796	0.00477470736995764	0.00378429517502365
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.0350848143446155	0.00514427917250051	0.00504572690003154
g1_numero_mes_lag_3	0.0308039276715837	0.0296409997086142	0.0356354462314727
cdescubierto_preacordado	0.0258641849910629	0.0204880061703771	0.0227057710501419
g1_transacciones_totales_tc	0.0217015453582944	0.00478985955382561	0.00441501103752759
mtarjeta_visa_consumo	0.0205764138638702	0.00474205865964283	0.00488804793440555
g1_visa_abierta	0.0204441375921439	0.00391156360446704	0.00693787448754336
ctarjeta_visa_transacciones	0.0196572487801544	0.00148148917049379	0.00141911069063387
mautoservicio	0.0191683968727313	0.00887109372253665	0.00520340586565752
mcuentas_saldo	0.017393663621335	0.0157412070191196	0.0143487858719647
mcuenta_corriente	0.0166187063804087	0.0152915080972339	0.0170293282876064
g1_numero_mes	0.0158157928362895	0.0154602505628569	0.022075055187638
foto_mes	0.0140853208534089	0.0342582993838174	0.0332702617470829
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.0139867511750814	0.0137295000461663	0.0129296751813308
g1_visa_limite_compra_sobre_sueldo	0.0131086833076614	0.00962860934303231	0.00819930621255125
g2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro	0.0129265846103149	0.000793425928798355	0.000946073793755913
mpayroll	0.0121716660150171	0.00312674698513925	0.00236518448438978
g1_acreditaciones_sobre_edad	0.0105836330708934	0.00260973862441061	0.00189214758751183
g2_g1_mtotal_caja_ahorro_sobre_g1_consumo_total_tc	0.00993857180852685	0.000448734478424799	0.00141911069063387
mprestamos_personales	0.00964603487109351	0.0107042929135247	0.0127719962157048
Visa_Finiciomora	0.00932764532458131	0.0185601997545176	0.00993377483443709
g1_mtotal_cta_corriente	0.00892011525444936	0.0145520122885607	0.0178177231157364
g1_numero_mes_lag_1	0.0079132719012548	0.00971998227874598	0.0115105644906969
g1_monto_total_prestamos	0.00739200287340903	0.0193512198958695	0.0181330810469883
