Feature	Gain	Cover	Frequency
ctrx_quarter	0.0954428343730441	0.0156882380695943	0.0131159163417228
mcaja_ahorro	0.0938885738283083	0.00998253749970317	0.00708968450903935
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0659879207388274	0.00329622742321797	0.00389932647997164
g1_consumo_total_tc	0.0531236723594624	0.0121213982592655	0.010989010989011
g1_mtotal_caja_ahorro	0.0529986233075301	0.00425592130695421	0.00336760014179369
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.035547455245427	0.00468663605078805	0.00478553704360156
g1_numero_mes_lag_3	0.0319825535511757	0.037531244299953	0.043601559730592
mtarjeta_visa_consumo	0.0293355518243658	0.00662560009386366	0.00514002126905353
cdescubierto_preacordado	0.0255919216152352	0.0194935309364459	0.0242821694434598
g1_visa_limite_compra_sobre_sueldo	0.0252849753995657	0.0127868536216801	0.010634526763559
mcuentas_saldo	0.0207101220435079	0.0150082592300487	0.0140021269053527
g2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro	0.0168475838097194	0.000774759189918269	0.000708968450903935
mcaja_ahorro_lag_1	0.0163397756809708	0.000406220435369734	0.000531726338177951
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.0143010626841492	0.0131030522500102	0.0134704005671748
g1_transacciones_totales_tc	0.0138037228246675	0.00461620429989527	0.00336760014179369
g1_mtotal_cta_corriente	0.0129044870516467	0.0132000376900302	0.0171924849344204
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo	0.0123258191107628	0.00121889091428588	0.0021269053527118
g1_numero_mes	0.0110143732508426	0.01336182188105	0.0187876639489543
mautoservicio	0.0108082887000203	0.00730421405161757	0.00425381070542361
foto_mes	0.0107322688101964	0.0275997258181684	0.0294221907125133
g1_visa_abierta	0.0099969188768593	0.00761877016073151	0.0125841900035448
g2_ctrx_quarter_sobre_g1_consumo_total_tc	0.0098560088095725	0.0010260715202651	0.00230414746543779
mpayroll	0.00981089024397294	0.00202155955564555	0.00177242112725984
ctarjeta_visa_transacciones	0.00938098839216212	0.00180159289584309	0.00194966323998582
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00924869234443167	0.00354852344119901	0.0065579581708614
Visa_Finiciomora	0.00904387227138373	0.0188974144062155	0.0102800425381071
g1_monto_total_prestamos	0.00788928194589446	0.017125552222788	0.0175469691598724
g1_visa_limite_compra_sobre_sueldo_delta_lag1	0.00682580655953398	0.00634434770843001	0.00514002126905353
g1_master_limite_compra_sobre_sueldo	0.00652780795648064	0.00251565709961384	0.0021269053527118
